Feijo,Domeyko
Feijo,Gitarama
Feijo,Las Tunas
Feijo,Shira
Feijo,Zalt
New Earth,Altair
New Earth,Asta
New Earth,Caph
New Earth,Chara
New Earth,Denebola
New Earth,Dieron
New Earth,Graham IV
New Earth,Hechnar
New Earth,Keid
New Earth,Killbourn
New Earth,Carver
New Earth,Lipton
New Earth,Muphrid
New Earth,New Home
New Earth,Oliver
New Earth,Pollux
New Earth,Procyon
New Earth,Rocky
New Earth,Sirius
New Earth,Terra
New Earth,Thorin
New Earth,Xi Ursae Majoris
New Earth,Yorii
New Earth,Zavijava
New Earth,Zollikofen
New Earth,Rigil Kentarus
Mondra,Schmitt
Mondra,Thraxa
Mondra,Vixen
Hazelhurst,Bastrop
Hazelhurst,Cork
Hazelhurst,Roscoff
Hazelhurst,Sterlington
Saffel,Altair
Saffel,Asta
Saffel,Athenry
Saffel,Bryant
Saffel,Caph
Saffel,Deneb Algedi
Saffel,Dieron
Saffel,Epsilon Indi
Saffel,Errai
Saffel,Fomalhaut
Saffel,Inglesmond
Saffel,Lockdale
Saffel,New Stevens
Saffel,Nirasaki
Saffel,Northwind
Saffel,Pike IV
Saffel,Quentin
Saffel,Styx
Saffel,Terra
Saffel,Rigil Kentarus
Tigress,Addicks
Tigress,Alpha Eridani
Tigress,Alrescha
Tigress,Angol
Tigress,Ankaa
Tigress,Basalt
Tigress,Bharat
Tigress,Deneb Kaitos
Tigress,Fletcher (CC)
Tigress,Hamal
Tigress,Hean
Tigress,Ingress
Tigress,Kawich
Tigress,New Florence
Tigress,New Hessen
Tigress,Nopah
Tigress,Rio
Tigress,Ruchbah
Tigress,Slocum
Tigress,Tybalt
Tigress,Yangtze
Kogl,Atzenbrugg
Kogl,Kendall
Kogl,Kutludugun
Kogl,Lepaterique
Kogl,Stotzing
Kogl,Valil'yevskiy
Roche,Tiber (Clan system)
Alexandria (CC),Bergtatt
Alexandria (CC),Frazer
Alexandria (CC),Jacson
Alexandria (CC),Kazu
Alexandria (CC),Maldive
Alexandria (CC),Mitchel
Alexandria (CC),Muridox
Alexandria (CC),Quimberton
Alexandria (CC),Sindalin
Alexandria (CC),Valdives
Alexandria (CC),Victoria (CC)
Alexandria (CC),Weitinger
Alexandria (CC),Yuris
Alexandria (CC),Zanzibar
Mogyorod,Biegga
Mogyorod,Clermont
Mogyorod,Kikuyu
Mogyorod,Kolovraty
Mogyorod,Newtown Square
Baltar,Famdo
Kyrkbacken,Asuncion
Kyrkbacken,Belluevue
Kyrkbacken,Berenson
Kyrkbacken,Bernardo
Kyrkbacken,Bhaktapur
Kyrkbacken,Ibstock
Kyrkbacken,Ilmachna
Kyrkbacken,Jilin
Kyrkbacken,Kristiandsund
Kyrkbacken,Manennaia
Kyrkbacken,Menkalinan
Kyrkbacken,Myrvoll
Kyrkbacken,New Canton
Kyrkbacken,Saiph
Kyrkbacken,Snailzar
Kyrkbacken,Suzano
Kyrkbacken,Tall Trees
Kyrkbacken,Ventabren
Kyrkbacken,Zion
Northsun,Coraines
Northsun,Devil's Breath
Northsun,Halla
Northsun,Risin
Denebola,Afleir
Denebola,Alioth
Denebola,Callison
Denebola,Castor
Denebola,Chara
Denebola,Cor Caroli
Denebola,Devil's Rock
Denebola,Graham IV
Denebola,Haddings
Denebola,Lipton
Denebola,Marcus
Denebola,Menkent
Denebola,Milton
Denebola,Mizar
Denebola,Muphrid
Denebola,New Dallas
Denebola,New Earth
Denebola,Oliver
Denebola,Pollux
Denebola,Summer
Denebola,Thorin
Denebola,Tyrfing
Denebola,Xi Ursae Majoris
Denebola,Zavijava
Denebola,Zollikofen
Denebola,Zosma
New Ålborg,Apollo (system)
New Ålborg,Bensinger
New Ålborg,Blackstone
New Ålborg,Butte Hold
New Ålborg,Iron Land
New Ålborg,Oberon
New Ålborg,Steelton
New Ålborg,Toland
New Ålborg,Zertarum
Talitha,Acubens
Talitha,Bordon
Talitha,Castor
Talitha,Connaught
Talitha,Devil's Rock
Talitha,Graham IV
Talitha,Hall
Talitha,Hechnar
Talitha,Irian
Talitha,New Dallas
Talitha,Oliver
Talitha,Pollux
Talitha,Tyrfing
