Feijo Domeyko
Feijo Gitarama
Feijo Las_Tunas
Feijo Shira
Feijo Zalt
New_Earth Altair
New_Earth Asta
New_Earth Caph
New_Earth Chara
New_Earth Denebola
New_Earth Dieron
New_Earth Graham_IV
New_Earth Hechnar
New_Earth Keid
New_Earth Killbourn
New_Earth Carver
New_Earth Lipton
New_Earth Muphrid
New_Earth New_Home
New_Earth Oliver
New_Earth Pollux
New_Earth Procyon
New_Earth Rocky
New_Earth Sirius
New_Earth Terra
New_Earth Thorin
New_Earth Xi_Ursae_Majoris
New_Earth Yorii
New_Earth Zavijava
New_Earth Zollikofen
New_Earth Rigil_Kentarus
Mondra Schmitt
Mondra Thraxa
Mondra Vixen
Hazelhurst Bastrop
Hazelhurst Cork
Hazelhurst Roscoff
Hazelhurst Sterlington
Saffel Altair
Saffel Asta
Saffel Athenry
Saffel Bryant
Saffel Caph
Saffel Deneb_Algedi
Saffel Dieron
Saffel Epsilon_Indi
Saffel Errai
Saffel Fomalhaut
Saffel Inglesmond
Saffel Lockdale
Saffel New_Stevens
Saffel Nirasaki
Saffel Northwind
Saffel Pike_IV
Saffel Quentin
Saffel Styx
Saffel Terra
Saffel Rigil_Kentarus
Tigress Addicks
Tigress Alpha_Eridani
Tigress Alrescha
Tigress Angol
Tigress Ankaa
Tigress Basalt
Tigress Bharat
Tigress Deneb_Kaitos
Tigress Fletcher_(CC)
Tigress Hamal
Tigress Hean
Tigress Ingress
Tigress Kawich
Tigress New_Florence
Tigress New_Hessen
Tigress Nopah
Tigress Rio
Tigress Ruchbah
Tigress Slocum
Tigress Tybalt
Tigress Yangtze
Kogl Atzenbrugg
Kogl Kendall
Kogl Kutludugun
Kogl Lepaterique
Kogl Stotzing
Kogl Valil'yevskiy
Roche Tiber_(Clan_system)
Alexandria_(CC) Bergtatt
Alexandria_(CC) Frazer
Alexandria_(CC) Jacson
Alexandria_(CC) Kazu
Alexandria_(CC) Maldive
Alexandria_(CC) Mitchel
Alexandria_(CC) Muridox
Alexandria_(CC) Quimberton
Alexandria_(CC) Sindalin
Alexandria_(CC) Valdives
Alexandria_(CC) Victoria_(CC)
Alexandria_(CC) Weitinger
Alexandria_(CC) Yuris
Alexandria_(CC) Zanzibar
Mogyorod Biegga
Mogyorod Clermont
Mogyorod Kikuyu
Mogyorod Kolovraty
Mogyorod Newtown_Square
Baltar Famdo
Kyrkbacken Asuncion
Kyrkbacken Belluevue
Kyrkbacken Berenson
Kyrkbacken Bernardo
Kyrkbacken Bhaktapur
Kyrkbacken Ibstock
Kyrkbacken Ilmachna
Kyrkbacken Jilin
Kyrkbacken Kristiandsund
Kyrkbacken Manennaia
Kyrkbacken Menkalinan
Kyrkbacken Myrvoll
Kyrkbacken New_Canton
Kyrkbacken Saiph
Kyrkbacken Snailzar
Kyrkbacken Suzano
Kyrkbacken Tall_Trees
Kyrkbacken Ventabren
Kyrkbacken Zion
Northsun Coraines
Northsun Devil's_Breath
Northsun Halla
Northsun Risin
Denebola Afleir
Denebola Alioth
Denebola Callison
Denebola Castor
Denebola Chara
Denebola Cor_Caroli
Denebola Devil's_Rock
Denebola Graham_IV
Denebola Haddings
Denebola Lipton
Denebola Marcus
Denebola Menkent
Denebola Milton
Denebola Mizar
Denebola Muphrid
Denebola New_Dallas
Denebola New_Earth
Denebola Oliver
Denebola Pollux
Denebola Summer
Denebola Thorin
Denebola Tyrfing
Denebola Xi_Ursae_Majoris
Denebola Zavijava
Denebola Zollikofen
Denebola Zosma
New_Ålborg Apollo_(system)
New_Ålborg Bensinger
New_Ålborg Blackstone
New_Ålborg Butte_Hold
New_Ålborg Iron_Land
New_Ålborg Oberon
New_Ålborg Steelton
New_Ålborg Toland
New_Ålborg Zertarum
Talitha Acubens
Talitha Bordon
Talitha Castor
Talitha Connaught
Talitha Devil's_Rock
Talitha Graham_IV
Talitha Hall
Talitha Hechnar
Talitha Irian
Talitha New_Dallas
Talitha Oliver
Talitha Pollux
Talitha Tyrfing
Talitha Van_Diemen_IV
Talitha Wasat
Talitha Zosma
Viborg Enders_Cluster
Viborg Haggard
Viborg Hinckley
Viborg Merlynpede
Viborg Vortalcoy
